FEOR,Foglalkozás megnevezése,2019,2020,2021,2022,2023
7534,Burkoló,220796,245313,263592,309535,357457
7535,Festõ és mázoló,231490,252724,271082,319887,372353
7536,"Kõfaragó, mûköves",214000,238640,258701,306856,368943
7538,Üvegezõ,226765,245536,265889,316790,368025
7539,Egyéb építési szakipari foglalkozású,235251,254883,285357,340753,394961
7911,Ipari búvár,356305,393280,434168,474092,572716
7914,"Kártevõirtó, gyomirtó",256985,287337,312036,368320,427339
7915,"Kéményseprõ, épületszerkezet-tisztító",303535,309524,315594,336760,407994
7919,"Egyéb, máshova nem sorolható ipari és építõipari foglalkozású",334855,374718,393922,442221,522794
8111,"Élelmiszer-, italgyártó gép kezelõje",339868,370221,398677,470459,539994
8112,Dohánygyártó gép kezelõje,305489,370849,376992,453797,491448
8121,Textilipari gép kezelõje és gyártósor mellett dolgozó ,258171,275023,296638,349237,405236
8122,Ruházati gép kezelõje és gyártósor mellett dolgozó,197403,211403,233204,273006,317375
8123,Bõrkikészítõ és -feldolgozó gép kezelõje és gyártósor mellett dolgozó,289302,274351,313686,362037,403488
8124,Cipõgyártó gép kezelõje és gyártósor mellett dolgozó,204846,217388,231796,285253,315842
8125,Fafeldolgozó gép kezelõje és gyártósor mellett dolgozó,256575,277575,306617,367494,431089
8126,Papír- és cellulóztermék-gyártó gép kezelõje és gyártósor mellett dolgozó,370303,406430,424508,491207,558714
8131,Kõolaj- és földgázfeldolgozó gép kezelõje,569599,590787,601238,748221,844698
8132,Vegyi alapanyagot és terméket gyártó gép kezelõje,454297,489821,529147,593949,686280
8133,Gyógyszergyártó gép kezelõje,470964,512659,521873,580863,676558
8134,Mûtrágya- és növényvédõszer-gyártó gép kezelõje,418704,464304,493510,546946,657406
8135,Mûanyagtermék-gyártó gép kezelõje,302219,331521,360476,412330,473689
8136,Gumitermékgyártó gép kezelõje,382597,395738,443144,510536,580224
8137,Fotó- és mozgófilmlaboráns,240342,280908,297156,376563,441572
8141,Kerámiaipari terméket gyártó gép kezelõje,311985,334816,361859,421244,480757
8142,Üveget és üvegterméket gyártó gép kezelõje,334099,350591,376362,439224,511103
8143,"Cement-, kõ- és egyéb ásványianyag-feldolgozó gép kezelõje",391823,410193,461106,519472,590935
8144,Papíripari alapanyagot gyártó gép kezelõje,346627,375246,392417,483178,567359
8151,Fémfeldolgozó gép kezelõje,379690,390219,429215,489785,548348
8152,"Fémmegmunkáló, felületkezelõ gép kezelõje",332149,349029,385917,454692,527992
8190,"Egyéb, máshova nem sorolható feldolgozóipari gép kezelõje",329807,368579,397460,459512,537073
8211,Mechanikaigép-összeszerelõ,309309,329796,356244,413915,484865
8212,Villamosberendezés-összeszerelõ,272253,302810,326743,390289,454063
8219,Egyéb termék-összeszerelõ,327879,356753,392409,459858,554332
8311,"Szilárdásvány-kitermelõ gép kezelõje (szén, kõ)",472638,490140,500469,568720,661231
8312,"Kútfúró, mélyfúró gép kezelõje (kõolaj, földgáz, víz)",508107,521150,546104,665573,794121
8321,Energetikai gép kezelõje,487702,523956,549967,625656,733026
8322,Vízgazdálkodási gép kezelõje,329270,345887,374718,425996,509725
8323,Kazángépkezelõ,314529,343932,371435,433988,509839
8324,"Sugármentesítõ gép, berendezés kezelõje",642711,684248,773387,835528,991353
8325,"Csomagoló-, palackozó- és címkézõgép kezelõje",339513,369780,382752,448592,525160
8326,"Mozigépész, vetítõgépész",272006,265257,291012,357059,422200
8327,Mosodai gép kezelõje,230243,254084,262092,306977,359860
8329,"Egyéb, máshova nem sorolható, helyhez kötött gép kezelõje",346450,378139,414580,474905,544275
8411,Mozdonyvezetõ,605886,667936,694388,800324,868893
8412,Vasútijármû-vezetéshez kapcsolódó foglalkozású,371232,419010,424027,513686,578471
8413,Villamosvezetõ,456526,491424,510877,584186,682455
8415,Trolibuszvezetõ,432482,472778,459157,561157,669524
8416,Személygépkocsi-vezetõ,275320,298707,314214,367514,442216
8417,"Tehergépkocsi-vezetõ, kamionsofõr",235110,254653,274068,327564,373151
8418,Autóbuszvezetõ,346421,398607,404335,479630,547044
8419,Egyéb jármûvezetõ és kapcsolódó foglalkozású,320093,372377,390823,449503,489606
8421,"Mezõgazdasági, erdõgazdasági, növényvédõ gép kezelõje",273906,298134,321411,369552,431277
8422,Földmunkagép és hasonló könnyû- és nehézgép kezelõje,299368,323745,352178,401264,467466
8423,"Köztisztasági, településtisztasági gép kezelõje",332976,346990,366386,434473,542412
8424,"Daru, felvonó és hasonló anyagmozgató gép kezelõje",328640,357386,387964,445858,512242
8425,Targoncavezetõ,338117,359012,392855,457104,527897
8430,"Hajószemélyzet, kormányos, matróz",291419,322779,364760,449509,503329
9112,Intézményi takarító és kisegítõ ,180928,199382,210891,251868,296052
9113,"Kézi mosó, vasaló",188191,210438,223256,265385,309589
9114,Jármûtakarító,205622,228446,238061,277744,328765
9115,Ablaktisztító,264332,290895,305815,342615,394562
9119,Egyéb takarító és kisegítõ,174102,190671,201098,240956,284349
9211,"Szemétgyûjtõ, utcaseprõ",208684,208494,224032,273171,343189
9212,Hulladékosztályozó,213658,234832,250424,293254,340052
9221,Pedálos vagy kézi hajtású gépek vezetõje,251233,267249,286436,331282,375051
9223,Rakodómunkás,277825,300236,323450,375280,438355
9224,"Pultfeltöltõ, árufeltöltõ",205008,227160,238848,272561,312151
9225,Kézi csomagoló,229078,253392,273482,316032,368214
9231,"Portás, telepõr, egyszerû õr",213175,229212,245466,288154,337765
9232,Mérõóra-leolvasó és hasonló egyszerû foglalkozású,260992,268395,297650,336860,389487
9233,"Hivatalsegéd, kézbesítõ",190365,204808,218254,259398,297675
9234,"Hordár, csomagkihordó",195205,201251,220078,263905,300701
9235,Gyorséttermi eladó,238547,242060,265273,313823,351747
9236,Konyhai kisegítõ,178550,194393,202858,242282,284336
9238,Parkolóõr,255098,272455,284876,343113,405369
9239,"Egyéb, máshova nem sorolható egyszerû szolgáltatási és szállítási foglalkozású",133081,136996,146947,179761,212871
9310,Egyszerû ipari foglalkozású,224042,241499,265027,312940,374120
9321,Kubikos,143040,150285,162355,196251,239399
9329,Egyéb egyszerû építõipari foglalkozású,171852,191242,204296,240946,285434
9331,Egyszerû mezõgazdasági foglalkozású,160136,173750,187078,223129,265857
9332,"Egyszerû erdészeti, vadászati és halászati foglalkozású",138983,148183,161719,198687,241727
