FEOR,Foglalkozás megnevezése,2019,2020,2021,2022,2023
2225,Védõnõ ,381822,513834,534017,600208,654292
2226,Mentõtiszt,513680,633168,699792,835928,960417
2227,Hallás- és beszédterapeuta,343148,374793,467536,541639,638166
2228,Alternatív gyógymódot alkalmazó,781463,885084,874065,929955,1043574
2229,Egyéb humán-egészségügyi (társ)foglalkozású,669415,762451,792211,855185,944662
2231,Ápoló (felsõfokú képzettséghez kapcsolódó) ,432661,557615,634216,740265,809218
2232,Szülész(nõ) (felsõfokú képzettséghez kapcsolódó) ,373890,484998,528806,633937,702778
2241,Állatorvos,384909,410364,430628,495872,563293
2242,Növényorvos (növényvédelmi szakértõ),425318,460059,519816,602385,673797
2311,Szociálpolitikus,381048,402994,444201,522947,607338
2312,Szociális munkás és tanácsadó,312993,356740,371503,439967,495600
2410,"Egyetemi, fõiskolai oktató, tanár",544043,567395,626448,766921,823615
2421,Középiskolai tanár,379770,415350,454551,481614,550749
2422,"Középfokú nevelési-oktatási intézményi szakoktató, gyakorlati oktató",326176,397561,444201,458445,533717
2431,"Általános iskolai tanár, tanító",349157,368692,390939,432715,503998
2432,"Csecsemõ- és kisgyermeknevelõ, óvodapedagógus",308170,327542,353241,412086,485565
2441,Gyógypedagógus,330335,349816,374453,423259,492951
2442,Konduktor,313915,343774,361687,427260,484447
2491,"Pedagógiai szakértõ, szaktanácsadó",379082,410796,429378,493334,571541
2492,Nyelvtanár (iskolarendszeren kívül),272588,295251,331482,389147,441534
2493,Zenetanár (iskolarendszeren kívül),294784,320137,343248,389356,467385
2494,Egyéb mûvészetek tanára (iskolarendszeren kívül),278976,304840,330163,373980,447738
2495,Informatikatanár (iskolarendszeren kívül),620533,699398,741066,800084,926209
2499,"Egyéb szakképzett oktató, nevelõ",357212,379048,409780,491551,539699
2511,Pénzügyi elemzõ és befektetési tanácsadó,727328,767531,825312,936747,1066869
2512,"Adótanácsadó, adószakértõ",740812,782525,819614,925314,1054455
2513,"Könyvvizsgáló, könyvelõ, könyvszakértõ",592779,654139,702650,785922,866931
2514,Kontroller,677649,721716,770120,867344,981667
2521,"Szervezetirányítási elemzõ, szervezõ ",689926,727684,797141,912230,1064336
2522,"Üzletpolitikai elemzõ, szervezõ",701751,761007,820047,939034,1058653
2523,Személyzeti és pályaválasztási szakértõ,596241,640415,692782,782228,881753
2524,Képzési és személyzetfejlesztési szakértõ,563412,591068,636931,707331,805125
2531,"Piackutató, reklám- és marketingtevékenységet tervezõ, szervezõ",629291,681894,729998,819787,914899
2532,"PR-tevékenységet tervezõ, szervezõ",539402,590873,618794,698907,789024
2533,"Kereskedelmi tervezõ, szervezõ ",621804,676063,732082,829270,940381
2534,"Informatikai és telekommunikációs technológiai termékek értékesítését tervezõ, szervezõ",915817,984004,1048985,1174072,1287535
2611,"Jogász, jogtanácsos",668329,723921,763940,838165,930841
2612,"Ügyész, ügyészségi fogalmazó",792359,978449,1104721,1194586,1241600
2613,"Bíró, bírósági fogalmazó",881160,1105931,1235170,1356611,1428685
2614,Közjegyzõ,424444,458261,509734,576985,624869
2615,Ügyvéd,275237,301596,326593,361581,396654
2619,Egyéb jogi foglalkozású,494982,531687,592851,678843,745287
2621,"Filozófus, politológus",458738,525257,584660,605805,687684
2622,"Történész, régész",377395,426672,484055,539275,571794
2623,Néprajzkutató,332672,382936,491530,528183,545435
2624,Elemzõ közgazdász,795228,847717,902003,1008977,1127879
2625,Statisztikus,565280,548702,602202,698036,738146
2626,"Szociológus, demográfus",427656,466035,526593,626129,669516
2627,"Nyelvész, fordító, tolmács",420407,469665,518551,596473,673624
2628,Pszichológus,345909,377614,521648,642332,737619
2629,Egyéb társadalomtudományi foglalkozású,475434,522427,567422,608454,679596
2711,"Könyvtáros, informatikus könyvtáros",289151,307711,337371,393669,436715
2712,Levéltáros,327741,374518,420968,486761,522333
2713,"Muzeológus, múzeumi gyûjteménygondnok",321183,346734,386810,458399,497467
2714,Kulturális szervezõ,318973,342123,376090,442123,528309
2715,Könyv- és lapkiadó szerkesztõje,428985,465447,514963,558855,622694
2716,"Újságíró, rádiómûsor-, televíziómûsor-szerkesztõ",450176,490062,530702,587821,663007
2717,"Szakképzett edzõ, sportszervezõ, -irányító",422071,467809,516047,568335,611468
2719,Egyéb kulturális és sportfoglalkozású (felsõfokú képzettséghez kapcsolódó),388312,433580,493854,534224,608077
2721,Író (újságíró nélkül),459150,518721,552164,644998,760735
2723,"Iparmûvész, gyártmány- és ruhatervezõ",362780,421098,468677,546372,614040
2724,"Zeneszerzõ, zenész, énekes",387336,416392,489606,590525,677916
2725,"Rendezõ, operatõr",419298,442805,486204,559034,667630
2726,"Színész, bábmûvész",344770,369441,398568,480539,535826
2727,"Táncmûvész, koreográfus",372715,386024,428818,504474,526105
2729,Egyéb alkotó- és elõadó-mûvészi foglalkozású (felsõfokú képzettséghez kapcsolódó),410053,436709,480443,532823,627626
2910,Egyéb magasan képzett ügyintézõ,560390,590076,630171,706382,792897
3111,Bányászati technikus,390715,413698,442960,542228,625097
3112,Kohó- és anyagtechnikus,448144,484407,537594,601284,678246
3113,Élelmiszer-ipari technikus,383971,405532,430206,487733,571335
3114,Fa- és könnyûipari technikus,326990,345067,374981,448359,506226
3115,Vegyésztechnikus,386589,418904,450052,502917,575165
3116,Gépésztechnikus,434867,469390,514926,593439,694868
3117,Építõ- és építésztechnikus ,363152,406421,447087,517049,599789
3121,Villamosipari technikus (energetikai technikus),489994,537171,579564,675748,798403
3122,Villamosipari technikus (elektronikai technikus),431849,463201,501465,575320,667186
3131,Mezõgazdasági technikus,352649,388248,414185,480181,564381
3132,Erdõ- és természetvédelmi technikus,356359,362327,407116,496762,555119
3133,Földmérõ és térinformatikai technikus ,322512,359894,397452,454071,524393
3134,Környezetvédelmi technikus,354669,380581,412757,471155,558381
3135,Minõségbiztosítási technikus,389802,414579,448824,519496,604114
3136,"Mûszaki rajzoló, szerkesztõ",350607,381454,421008,487076,563947
3139,"Egyéb, máshova nem sorolható technikus",435393,466518,510025,594080,697484
3141,Informatikai és kommunikációs rendszereket kezelõ technikus,494407,530132,577149,665173,765994
3142,Informatikai és kommunikációs rendszerek felhasználóit támogató technikus,501245,545732,581461,676114,773739
3143,Számítógéphálózat- és rendszertechnikus,471193,508427,557472,650273,771787
3144,Webrendszer- (hálózati) technikus,394163,429399,462774,538494,634656
